payment_id,ride_id,amount,payment_date
P000001,R021990,36.03,2026-01-02
P000002,R024223,36.2,2026-04-13
P000003,R029731,34.62,2025-08-17
P000004,R025990,17.51,2026-02-24
P000005,R006618,33.84,2025-03-07
P000006,R027308,6.84,2025-11-16
P000007,R022242,9.67,2025-05-30
P000008,R000728,44.38,2025-05-26
P000009,R026912,27.6,2024-12-05
P000010,R027371,24.69,2026-05-31
P000011,R029167,28.82,2025-04-15
P000012,R007179,29.9,2025-12-10
P000013,R005640,14.81,2025-03-18
P000014,R026966,30.66,2025-01-28
P000015,R000056,33.98,2025-09-03
P000016,R013770,24.6,2025-12-12
P000017,R020122,17.28,2025-12-15
P000018,R001516,35.23,2026-02-15
P000019,R028330,30.32,2025-12-14
P000020,R004855,33.19,2025-02-04
P000021,R014861,12.37,2025-07-13
P000022,R029470,6.11,2025-06-15
P000023,R023079,20.87,2026-01-19
P000024,R021189,37.63,2025-09-04
P000025,R009023,9.15,2025-12-30
P000026,R000455,30.5,2026-03-30
P000027,R009172,21.03,2024-07-22
P000028,R010135,16.75,2024-09-03
P000029,R028731,36.8,2026-04-02
P000030,R024671,5.11,2024-10-26
P000031,R010053,12.83,2026-02-27
P000032,R003858,8.0,2024-12-29
P000033,R026811,21.54,2026-02-25
P000034,R026275,22.33,2026-06-27
P000035,R000786,31.48,2026-05-08
P000036,R006108,39.5,2025-02-20
P000037,R026398,13.06,2025-01-02
P000038,R015440,25.29,2026-05-03
P000039,R023658,20.35,2026-04-14
P000040,R011044,12.96,2024-10-30
P000041,R028313,28.93,2026-02-21
P000042,R007253,9.11,2025-11-23
P000043,R003649,34.93,2026-06-27
P000044,R009656,17.96,2024-07-10
P000045,R003938,9.48,2025-06-23
P000046,R002042,7.37,2026-03-23
P000047,R014329,9.68,2024-12-20
P000048,R022829,15.34,2024-07-15
P000049,R002624,31.59,2025-03-01
P000050,R001865,33.37,2026-03-22
P000051,R011657,20.03,2025-11-23
P000052,R008712,5.86,2025-05-30
P000053,R016036,17.54,2025-08-13
P000054,R029926,21.91,2024-07-24
P000055,R009723,33.1,2026-05-07
P000056,R007430,21.77,2025-07-01
P000057,R008285,13.2,2025-03-26
P000058,R000469,22.48,2025-07-10
P000059,R016042,14.41,2026-02-17
P000060,R022915,10.53,2025-12-29
P000061,R022546,21.88,2024-10-14
P000062,R015189,31.36,2025-01-08
P000063,R010162,21.91,2026-06-20
P000064,R006437,6.95,2025-08-18
P000065,R022634,37.66,2026-04-13
P000066,R025958,20.99,2024-11-21
P000067,R008911,42.41,2025-09-10
P000068,R029825,26.81,2025-11-20
P000069,R000279,12.01,2025-04-09
P000070,R008473,14.13,2026-06-10
P000071,R022585,7.89,2024-10-23
P000072,R012461,7.38,2024-07-09
P000073,R014965,23.48,2026-01-05
P000074,R022228,9.19,2026-04-13
P000075,R022799,26.72,2026-05-13
P000076,R027550,25.23,2026-06-23
P000077,R026262,11.45,2024-11-09
P000078,R001559,13.19,2025-12-16
P000079,R008329,20.38,2025-02-06
P000080,R001207,28.75,2024-09-23
P000081,R021545,24.73,2025-05-09
P000082,R002503,39.33,2026-03-15
P000083,R010108,33.79,2025-07-04
P000084,R014091,25.91,2025-04-03
P000085,R002912,16.04,2025-12-14
P000086,R022389,16.75,2025-10-14
P000087,R024755,11.33,2025-03-13
P000088,R001377,27.42,2024-09-10
P000089,R016953,37.32,2025-06-25
P000090,R002672,27.27,2025-09-19
P000091,R003242,8.51,2024-09-03
P000092,R018509,13.52,2026-05-12
P000093,R008721,9.32,2024-10-14
P000094,R008687,12.11,2026-04-19
P000095,R014364,19.19,2025-12-13
P000096,R003223,31.18,2026-05-25
P000097,R029980,18.21,2024-12-28
P000098,R026345,36.37,2024-04-04
P000099,R026034,7.85,2026-03-15
P000100,R024217,27.66,2026-02-02
P000101,R008652,13.95,2024-09-16
P000102,R020841,31.02,2025-05-06
P000103,R010218,14.61,2024-11-24
P000104,R021819,5.84,2026-03-31
P000105,R012216,24.41,2025-03-15
P000106,R022182,29.32,2025-09-05
P000107,R019289,14.73,2024-10-05
P000108,R013912,29.86,2024-10-18
P000109,R008113,28.61,2024-09-11
P000110,R025040,15.09,2025-12-05
P000111,R010441,5.64,2025-06-21
P000112,R019305,6.65,2025-12-17
P000113,R003004,22.58,2024-09-08
P000114,R002917,23.78,2024-12-23
P000115,R008769,11.7,2025-09-23
P000116,R010963,10.12,2025-04-13
P000117,R024983,37.74,2024-12-22
P000118,R003127,38.23,2025-11-22
P000119,R007144,40.63,2025-06-14
P000120,R009435,23.37,2025-07-08
P000121,R016513,12.07,2026-01-18
P000122,R004383,18.09,2025-06-24
P000123,R021119,27.3,2025-10-01
P000124,R017015,9.86,2025-07-31
P000125,R011192,12.79,2024-08-30
P000126,R017437,19.43,2025-05-07
P000127,R017069,5.05,2025-11-09
P000128,R010543,21.99,2024-08-03
P000129,R018761,17.15,2025-06-09
P000130,R001571,12.54,2026-03-25
P000131,R021335,46.11,2025-05-25
P000132,R029942,15.83,2025-07-02
P000133,R030203,25.34,2025-05-31
P000134,R002246,34.22,2025-04-13
P000135,R005212,33.06,2025-01-25
P000136,R014451,39.19,2026-03-06
P000137,R001067,28.05,2025-08-26
P000138,R006006,32.38,2024-09-18
P000139,R024916,12.95,2024-11-03
P000140,R006012,37.32,2025-05-29
P000141,R013390,18.31,2025-04-09
P000142,R021704,31.4,2025-09-25
P000143,R029496,29.83,2025-12-15
P000144,R018185,14.74,2025-07-12
P000145,R000911,47.75,2025-10-17
P000146,R011879,38.01,2025-01-22
P000147,R014489,30.41,2025-02-02
P000148,R005603,22.86,2025-10-23
P000149,R020091,14.6,2025-05-23
P000150,R019785,15.61,2024-09-29
P000151,R014331,16.92,2024-10-23
P000152,R021540,31.91,2025-12-05
P000153,R002275,29.86,2025-06-19
P000154,R017211,24.52,2025-04-06
P000155,R002059,7.68,2025-05-31
P000156,R022569,25.38,2026-04-14
P000157,R008978,30.44,2026-03-05
P000158,R029921,40.79,2025-07-03
P000159,R021659,9.05,2025-08-16
P000160,R003853,22.59,2025-05-10
P000161,R020533,5.25,2024-09-09
P000162,R011078,37.05,2026-04-01
P000163,R015466,26.66,2025-01-07
P000164,R021496,39.25,2025-10-28
P000165,R001889,34.26,2025-07-22
P000166,R005583,6.51,2024-08-24
P000167,R025118,34.39,2025-10-29
P000168,R014263,11.3,2025-01-12
P000169,R019433,38.52,2025-08-06
P000170,R020974,5.44,2025-07-05
P000171,R017474,24.44,2025-01-30
P000172,R028892,34.14,2025-08-14
P000173,R014060,10.31,2025-02-20
P000174,R000858,8.64,2025-12-18
P000175,R000409,20.34,2026-01-09
P000176,R023127,32.32,2025-01-15
P000177,R019510,29.22,2026-01-07
P000178,R004232,35.97,2026-05-09
P000179,R013950,21.89,2025-10-26
P000180,R009059,27.12,2025-05-08
P000181,R028643,40.49,2025-07-10
P000182,R029399,41.45,2025-07-06
P000183,R015556,34.87,2026-01-08
P000184,R007477,32.23,2024-10-07
P000185,R017320,33.18,2026-01-06
P000186,R026927,45.14,2024-12-30
P000187,R021586,39.1,2025-12-21
P000188,R022855,28.84,2025-11-20
P000189,R006185,30.42,2025-02-05
P000190,R022501,14.33,2025-10-15
P000191,R007207,15.03,2025-06-22
P000192,R016625,7.2,2026-04-13
P000193,R018397,24.06,2024-12-13
P000194,R015953,28.46,2026-03-30
P000195,R017994,12.2,2026-05-26
P000196,R002410,24.35,2024-08-01
P000197,R020482,29.49,2025-09-08
P000198,R010606,41.02,2024-07-03
P000199,R023504,7.3,2026-06-13
P000200,R029091,22.08,2026-05-04
P000201,R013641,11.68,2025-03-06
P000202,R016767,5.94,2025-09-02
P000203,R017107,8.56,2025-08-13
P000204,R018441,11.72,2025-06-19
P000205,R016788,22.16,2025-05-28
P000206,R020348,25.01,2024-08-26
P000207,R011241,28.1,2026-05-02
P000208,R007797,27.85,2024-06-29
P000209,R010576,23.16,2025-10-15
P000210,R010062,27.98,2025-06-26
P000211,R006919,30.02,2024-10-30
P000212,R013978,16.31,2025-06-29
P000213,R022930,30.75,2025-02-04
P000214,R009603,29.48,2025-12-30
P000215,R020919,8.17,2026-03-08
P000216,R023316,27.7,2025-04-11
P000217,R021397,21.29,2024-02-15
P000218,R015927,43.45,2025-10-23
P000219,R005637,9.71,2025-03-16
P000220,R001837,22.87,2026-02-11
P000221,R029614,26.72,2025-12-21
P000222,R027653,39.14,2025-10-20
P000223,R028290,22.64,2025-11-23
P000224,R019337,43.49,2024-09-25
P000225,R008956,12.65,2026-02-22
P000226,R016216,47.15,2025-10-01
P000227,R010402,23.94,2024-03-04
P000228,R009451,23.03,2024-08-05
P000229,R002156,17.25,2025-04-10
P000230,R021952,24.09,2025-04-18
P000231,R017389,31.16,2025-12-30
P000232,R013539,12.63,2026-01-15
P000233,R026823,29.95,2025-01-20
P000234,R027274,12.02,2024-11-25
P000235,R022035,43.75,2024-10-23
P000236,R009204,23.08,2026-05-30
P000237,R023270,8.03,2024-06-01
P000238,R001007,31.03,2026-01-23
P000239,R003502,28.87,2024-09-19
P000240,R007471,10.43,2025-11-26
P000241,R000865,7.68,2025-11-09
P000242,R013908,28.47,2024-09-24
P000243,R006816,15.57,2024-10-20
P000244,R027165,39.46,2025-09-14
P000245,R009741,5.64,2025-02-28
P000246,R000654,26.17,2025-04-08
P000247,R018338,30.26,2026-01-14
P000248,R011265,21.5,2025-02-05
P000249,R002820,7.92,2025-04-25
P000250,R002950,33.68,2025-07-27
P000251,R014667,23.8,2025-09-02
P000252,R015726,27.16,2025-12-06
P000253,R010406,43.01,2026-04-27
P000254,R011385,6.08,2024-05-17
P000255,R013703,14.04,2025-05-28
P000256,R010454,27.71,2024-11-14
P000257,R002872,8.75,2024-11-02
P000258,R022929,8.59,2025-10-22
P000259,R015554,30.23,2024-08-06
P000260,R024586,9.32,2025-06-22
P000261,R029359,17.33,2026-04-09
P000262,R009893,15.1,2024-05-01
P000263,R009265,31.43,2025-06-08
P000264,R014887,12.74,2025-05-29
P000265,R024745,19.19,2026-05-11
P000266,R015128,30.21,2025-05-23
P000267,R008725,37.99,2025-10-18
P000268,R029036,23.23,2024-07-22
P000269,R003552,34.58,2025-07-11
P000270,R011808,9.06,2025-02-02
P000271,R023476,22.58,2026-03-30
P000272,R011647,29.94,2024-11-21
P000273,R007981,11.76,2025-07-13
P000274,R020437,42.18,2024-12-30
P000275,R013465,34.04,2026-01-23
P000276,R014673,9.55,2024-12-14
P000277,R027620,25.53,2026-04-18
P000278,R018661,25.76,2025-09-22
P000279,R010200,18.07,2025-09-17
P000280,R004665,30.14,2025-06-15
P000281,R011030,33.27,2025-11-04
P000282,R009641,17.46,2026-01-15
P000283,R025528,32.66,2024-12-13
P000284,R022117,30.65,2025-10-20
P000285,R007778,25.64,2025-01-25
P000286,R007687,43.88,2025-06-06
P000287,R025119,17.36,2025-01-27
P000288,R015060,22.85,2024-12-18
P000289,R020427,31.67,2026-03-01
P000290,R023817,10.65,2025-09-30
P000291,R007560,19.53,2025-10-28
P000292,R004849,26.62,2026-03-10
P000293,R013694,35.66,2024-12-08
P000294,R016614,31.95,2025-08-07
P000295,R005888,14.22,2026-05-10
P000296,R015522,8.27,2024-08-09
P000297,R002791,39.51,2025-05-19
P000298,R004611,17.66,2024-11-04
P000299,R014903,35.69,2024-12-17
P000300,R020054,15.56,2025-08-10
P000301,R026615,28.74,2024-12-11
P000302,R000151,6.39,2025-12-09
P000303,R024548,8.04,2024-06-14
P000304,R011019,20.3,2025-12-25
P000305,R001688,15.08,2026-05-22
P000306,R028978,19.33,2025-09-01
P000307,R001063,35.5,2024-08-29
P000308,R013233,11.04,2025-08-28
P000309,R023771,26.04,2025-09-07
P000310,R001888,16.27,2024-09-14
P000311,R013305,36.15,2025-04-07
P000312,R028350,40.54,2024-09-08
P000313,R007312,24.4,2025-09-29
P000314,R027050,22.02,2025-05-23
P000315,R009468,39.29,2026-04-05
P000316,R028215,40.79,2025-10-18
P000317,R023446,40.32,2025-05-01
P000318,R018682,25.16,2024-07-08
P000319,R010083,23.56,2024-06-01
P000320,R024547,34.81,2024-12-29
P000321,R016071,37.5,2025-07-05
P000322,R029369,30.34,2026-02-11
P000323,R022597,20.96,2025-03-20
P000324,R014841,6.84,2025-01-07
P000325,R004298,12.33,2024-10-09
P000326,R010027,24.94,2025-12-05
P000327,R011334,37.27,2024-11-07
P000328,R028534,28.57,2025-05-29
P000329,R005964,10.6,2026-01-19
P000330,R024560,26.13,2026-06-17
P000331,R003399,10.38,2024-09-01
P000332,R021606,42.4,2025-09-30
P000333,R013922,16.96,2025-08-17
P000334,R019003,39.71,2025-09-20
P000335,R003936,33.42,2025-05-14
P000336,R026302,11.52,2026-05-05
P000337,R017297,21.17,2025-12-08
P000338,R014484,18.52,2024-09-15
P000339,R029436,15.73,2025-05-21
P000340,R019865,30.55,2025-11-15
P000341,R009027,28.53,2026-03-16
P000342,R019143,22.3,2024-09-23
P000343,R017314,32.49,2024-11-28
P000344,R009873,14.03,2024-08-18
P000345,R012356,13.07,2025-11-30
P000346,R017268,13.03,2025-11-14
P000347,R011899,32.75,2024-10-12
P000348,R004626,12.78,2025-12-29
P000349,R021400,7.09,2024-12-20
P000350,R007876,39.29,2026-06-26
P000351,R025120,37.48,2026-01-13
P000352,R013317,24.53,2026-01-27
P000353,R028758,6.67,2024-08-28
P000354,R006911,33.19,2026-01-28
P000355,R012166,41.35,2025-05-07
P000356,R011203,7.92,2024-07-27
P000357,R017114,19.74,2025-09-12
P000358,R029535,5.19,2025-11-25
P000359,R028435,11.62,2025-12-28
P000360,R019681,15.2,2026-06-08
P000361,R021976,28.49,2025-02-15
P000362,R018040,31.61,2024-08-08
P000363,R003356,6.15,2025-03-28
P000364,R024521,31.21,2025-09-15
P000365,R029366,14.14,2025-10-17
P000366,R011550,35.85,2026-05-13
P000367,R024666,16.38,2024-06-23
P000368,R024799,29.91,2025-03-01
P000369,R019340,22.74,2024-12-22
P000370,R004705,7.17,2025-05-17
P000371,R010709,45.93,2025-10-17
P000372,R017002,20.79,2025-06-17
P000373,R001168,18.42,2024-08-14
P000374,R024088,17.44,2025-11-21
P000375,R025048,34.5,2024-04-13
P000376,R027272,22.62,2024-09-18
P000377,R016747,10.2,2026-03-15
P000378,R000005,18.41,2026-04-27
P000379,R028464,38.97,2025-01-31
P000380,R003282,30.91,2025-03-07
P000381,R012063,28.65,2026-02-27
P000382,R009226,29.96,2025-10-10
P000383,R006768,18.91,2025-03-13
P000384,R020291,19.89,2024-10-13
P000385,R019542,11.7,2024-09-15
P000386,R009186,34.93,2024-10-08
P000387,R027863,25.94,2025-08-07
P000388,R012844,22.64,2024-11-03
P000389,R000519,33.37,2024-11-22
P000390,R005146,18.21,2025-11-20
P000391,R012994,26.3,2025-06-25
P000392,R007764,6.17,2024-12-19
P000393,R029180,36.63,2025-01-19
P000394,R023799,29.78,2026-04-11
P000395,R008173,13.14,2025-10-10
P000396,R024415,29.53,2024-06-17
P000397,R001990,45.13,2025-08-29
P000398,R021765,32.25,2025-01-25
