ride_id,user_id,ride_date,city,distance_km,fare_amount,payment_method,status
R021990,U01860,2026-01-02,Berlin,26.0,36.03,apple_pay,completed
R024223,U00956,2026-04-13,Cologne,27.9,36.2,paypal,completed
R029731,U01384,2025-08-17,Frankfurt,21.7,34.62,cash,completed
R025990,U00372,2026-02-24,Berlin,10.7,17.51,paypal,completed
R006618,U01313,2025-03-07,Berlin,25.9,33.84,card,completed
R027308,U01724,2025-11-16,Hamburg,2.6,6.84,apple_pay,completed
R022242,U00793,2025-05-30,Berlin,5.6,9.67,card,completed
R000728,U00048,2025-05-26,Frankfurt,26.8,44.38,paypal,completed
R026912,U00021,2024-12-05,Munich,20.9,27.6,apple_pay,completed
R027371,U01532,2026-05-31,Frankfurt,14.8,24.69,cash,completed
R029167,U01373,2025-04-15,Berlin,16.6,28.82,apple_pay,completed
R007179,U00144,2025-12-10,Frankfurt,20.3,29.9,apple_pay,completed
R005640,U01389,2025-03-18,Munich,7.8,14.81,cash,completed
R026966,U01159,2025-01-28,Munich,17.8,30.66,apple_pay,completed
R000056,U00063,2025-09-03,Munich,26.3,33.98,cash,completed
R013770,U00873,2025-12-12,Frankfurt,14.9,24.6,card,completed
R020122,U00397,2025-12-15,Cologne,12.2,17.28,paypal,completed
R001516,U01476,2026-02-15,Cologne,27.3,35.23,apple_pay,completed
R028330,U00848,2025-12-14,Berlin,23.4,30.32,apple_pay,completed
R004855,U01356,2025-02-04,Cologne,24.9,33.19,apple_pay,completed
R014861,U01265,2025-07-13,Berlin,7.0,12.37,apple_pay,completed
R020323,U01265,2024-10-19,Frankfurt,22.4,0.93,cash,cancelled
R029470,U00957,2025-06-15,Munich,2.3,6.11,card,completed
R023079,U00194,2026-01-19,Hamburg,13.0,20.87,paypal,completed
R021189,U00133,2025-09-04,Cologne,22.7,37.63,paypal,completed
R009023,U00188,2025-12-30,Cologne,4.8,9.15,apple_pay,completed
R000455,U00859,2026-03-30,Munich,22.7,30.5,paypal,completed
R009172,U00662,2024-07-22,Berlin,11.8,21.03,cash,completed
R010135,U00606,2024-09-03,Hamburg,9.9,16.75,card,completed
R028731,U01851,2026-04-02,Frankfurt,26.8,36.8,card,completed
R024671,U00563,2024-10-26,Cologne,1.1,5.11,paypal,completed
R010053,U01447,2026-02-27,Berlin,7.3,12.83,apple_pay,completed
R003858,U01189,2024-12-29,Berlin,2.9,8.0,card,completed
R004809,U00162,2024-12-28,Frankfurt,24.0,1.28,card,cancelled
R026811,U00200,2026-02-25,Frankfurt,12.8,21.54,paypal,completed
R026275,U01611,2026-06-27,Frankfurt,13.5,22.33,paypal,completed
R000786,U01613,2026-05-08,Berlin,24.1,31.48,apple_pay,completed
R006108,U01161,2025-02-20,Frankfurt,27.4,39.5,cash,completed
R026398,U01034,2025-01-02,Berlin,7.1,13.06,paypal,completed
